url,status,latency_ms
/api/service_7/endpoint_1,200,209
/api/service_5/endpoint_71?id=91,500,30
/api/service_8/endpoint_92?id=2717,500,125
/api/service_4/endpoint_34?id=3711,404,375
/api/service_8/endpoint_53,200,243
/api/service_9/endpoint_67,200,299
/api/service_1/endpoint_49?id=3937,201,180
/api/service_19/endpoint_25?id=2930,200,462
/api/service_15/endpoint_45,400,216
/api/service_8/endpoint_56,200,138
/api/service_13/endpoint_19,404,211
/api/service_18/endpoint_62?id=1678,201,250
/api/service_2/endpoint_93?id=1448,200,441
/api/service_17/endpoint_37,200,93
/api/service_13/endpoint_94?id=3389,200,425
/api/service_1/endpoint_13,200,337
/api/service_11/endpoint_17,200,251
/api/service_12/endpoint_50?id=712,200,386
/api/service_18/endpoint_51,404,231
/api/service_11/endpoint_59?id=4884,404,251
/api/service_20/endpoint_7?id=1539,400,334
/api/service_12/endpoint_75,404,73
/api/service_20/endpoint_60?id=4690,200,105
/api/service_14/endpoint_48?id=130,200,222
/api/service_5/endpoint_86,201,330
/api/service_6/endpoint_33,404,377
/api/service_10/endpoint_29?id=1229,404,438
/api/service_3/endpoint_31,200,225
/api/service_3/endpoint_37,200,140
/api/service_16/endpoint_86,201,455
/api/service_18/endpoint_62,200,305
/api/service_1/endpoint_73?id=783,200,11
/api/service_13/endpoint_24?id=1595,400,189
/api/service_7/endpoint_57,200,337
/api/service_11/endpoint_31?id=3184,500,461
/api/service_1/endpoint_59,404,156
/api/service_15/endpoint_33?id=584,200,172
/api/service_16/endpoint_23?id=4626,404,344
/api/service_6/endpoint_65,200,155
/api/service_13/endpoint_35?id=653,200,326
/api/service_17/endpoint_90?id=1866,200,10
/api/service_1/endpoint_82?id=4815,500,234
/api/service_1/endpoint_18,404,168
/api/service_1/endpoint_19,404,288
/api/service_12/endpoint_98?id=714,200,406
/api/service_12/endpoint_56?id=1999,200,499
/api/service_18/endpoint_87?id=4123,200,209
/api/service_14/endpoint_45?id=1822,200,214
/api/service_10/endpoint_57?id=3076,404,10
/api/service_19/endpoint_57,200,455
/api/service_1/endpoint_43?id=2576,200,182
/api/service_17/endpoint_45?id=4848,200,136
/api/service_16/endpoint_88?id=3619,201,29
/api/service_15/endpoint_59?id=3021,200,65
/api/service_8/endpoint_75?id=3103,200,409
/api/service_6/endpoint_38?id=2640,200,290
/api/service_3/endpoint_60,200,158
/api/service_11/endpoint_47?id=4769,200,90
/api/service_19/endpoint_8,400,206
/api/service_13/endpoint_7?id=212,200,290
/api/service_12/endpoint_71,200,293
/api/service_14/endpoint_12,200,225
/api/service_18/endpoint_78?id=4604,404,68
/api/service_17/endpoint_23,404,46
/api/service_6/endpoint_86,201,330
/api/service_2/endpoint_83,200,223
/api/service_2/endpoint_49?id=906,200,410
/api/service_20/endpoint_12?id=395,200,325
/api/service_2/endpoint_56?id=2820,404,362
/api/service_4/endpoint_72?id=720,201,307
/api/service_12/endpoint_32,200,40
/api/service_6/endpoint_1?id=2205,200,158
/api/service_18/endpoint_63,200,112
/api/service_19/endpoint_71?id=195,200,277
/api/service_12/endpoint_34?id=2788,200,415
/api/service_6/endpoint_72,201,461
/api/service_9/endpoint_2?id=1936,200,119
/api/service_1/endpoint_32?id=1233,404,298
/api/service_15/endpoint_71,404,78
/api/service_1/endpoint_65,200,324
/api/service_9/endpoint_56?id=226,200,278
/api/service_10/endpoint_46?id=3496,200,24
/api/service_12/endpoint_98,200,350
/api/service_17/endpoint_97,200,478
/api/service_5/endpoint_41?id=1503,400,14
/api/service_11/endpoint_69,404,403
/api/service_14/endpoint_31?id=949,200,416
/api/service_4/endpoint_52,200,237
/api/service_6/endpoint_72,200,113
/api/service_11/endpoint_52?id=2200,200,320
/api/service_14/endpoint_55,400,202
/api/service_2/endpoint_85?id=1440,404,261
/api/service_8/endpoint_12,200,278
/api/service_1/endpoint_84,404,164
/api/service_19/endpoint_4,404,372
/api/service_18/endpoint_65?id=2236,200,196
/api/service_8/endpoint_29?id=3442,200,86
/api/service_2/endpoint_61,200,405
/api/service_2/endpoint_11?id=2092,500,345
/api/service_12/endpoint_72,500,415
/api/service_16/endpoint_70?id=671,200,381
/api/service_11/endpoint_12?id=3521,200,315
/api/service_2/endpoint_74,201,210
/api/service_14/endpoint_54?id=1814,200,352
/api/service_7/endpoint_89?id=2351,200,138
/api/service_16/endpoint_48,200,261
/api/service_9/endpoint_6?id=4338,500,23
/api/service_18/endpoint_87?id=3535,200,33
/api/service_13/endpoint_59,200,23
/api/service_11/endpoint_15?id=3484,200,413
/api/service_1/endpoint_2,201,47
